epoch,loss,err
0.05,0.24200071394443512,1.0
0.1,0.6050403714179993,1.0
0.15,1.4772394895553589,1.0
0.2,2.9284474849700928,1.0
0.25,6.239870548248291,1.0
0.3,11.591915130615234,1.0
0.35,21.871597290039062,1.0
0.4,39.86770248413086,1.0
0.45,69.31085968017578,1.0
0.5,122.04395294189453,1.0
0.55,208.8550262451172,1.0
0.6,341.7322082519531,1.0
0.65,517.038818359375,1.0
0.7,626.2838134765625,1.0
0.75,434.6433410644531,1.0
0.8,299.807373046875,1.0
0.85,99.6787109375,1.0
0.9,67.40499114990234,1.0
0.95,113.36248016357422,1.0
1.0,164.99002075195312,1.0
1.05,0.15873517096042633,1.0
1.1,0.3218183219432831,1.0
1.15,0.39733731746673584,1.0
1.2,0.5086663365364075,1.0
1.25,0.783815860748291,1.0
1.3,1.2786623239517212,1.0
1.35,1.9279941320419312,1.0
1.4,3.316592216491699,1.0
1.45,4.900284767150879,1.0
1.5,7.199448108673096,1.0
1.55,11.398123741149902,1.0
1.6,16.833070755004883,1.0
1.65,26.798887252807617,1.0
1.7,40.77484893798828,1.0
1.75,61.78304672241211,1.0
1.8,95.185302734375,1.0
1.85,141.396240234375,1.0
1.9,212.8342742919922,1.0
1.95,310.1202087402344,1.0
2.0,431.3440856933594,1.0
2.05,0.021229637786746025,1.0
2.1,0.009599302895367146,1.0
2.15,0.02937868982553482,1.0
2.2,0.07135719805955887,1.0
2.25,0.09140453487634659,1.0
2.3,0.16238786280155182,1.0
2.35,0.23791448771953583,1.0
2.4,0.3637591600418091,1.0
2.45,0.3440302312374115,1.0
2.5,0.48500820994377136,1.0
2.55,0.5419599413871765,1.0
2.6,0.631670355796814,1.0
2.65,0.7250645756721497,1.0
2.7,0.9389687180519104,1.0
2.75,0.840732991695404,1.0
2.8,0.9693019390106201,1.0
2.85,0.9946039319038391,1.0
2.9,1.0348896980285645,1.0
2.95,1.1246452331542969,1.0
3.0,1.186118245124817,1.0
3.05,0.04461970552802086,1.0
3.1,0.045288700610399246,1.0
3.15,0.06567230075597763,1.0
3.2,0.06015530601143837,1.0
3.25,0.06630880385637283,1.0
